sector,amount_($m),hq,series,source,date,company,source_page
Legal-Tech,0.6,Delhi,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://economictimes.indiatimes.com/tech/funding/legitquest-raises-660000-in-ongoing-round-from-existing-investors-infoedge-waterbridge-ventures/articleshow/116222381.cms'}",2024-12-11,Legitquest,b95b2efb487d82aaa66d814c20187da6
Fintech - NBFC,15.0,Bengaluru,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/nbfc-varthana-secures-15-mn-from-blueorchard-microfinance-fund-8326106'}",2024-12-09,Varthana,b95b2efb487d82aaa66d814c20187da6
Semiconductor,1.2,Thiruvananthapuram,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/semicon-startup-netrasemi-bags-inr-10-cr-to-build-edge-ai-for-iot-products/'}",2024-12-10,Netrasemi,b95b2efb487d82aaa66d814c20187da6
Solar Energy,40.0,Mumbai,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/solarsquare-raises-40-mn-in-series-b-led-by-lightspeed-8431566'}",2024-12-12,SolarSquare,b95b2efb487d82aaa66d814c20187da6
E-Commerce - Sneakers,2.0,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/exclusive-sneakers-focussed-marketplace-culture-circle-bags-2-mn/'}",2024-12-11,Culture Circle,b95b2efb487d82aaa66d814c20187da6
Quick Commerce,18.0,Bengaluru,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://economictimes.indiatimes.com/tech/funding/firstclub-of-former-cleartrip-ceo-ayyappan-raises-8-million-in-round-led-by-accel-rtp-global/articleshow/116221395.cms'}",2024-12-12,FirstClub,b95b2efb487d82aaa66d814c20187da6
SaaS,0.3197,Pune,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/saas-startup-mbg-card-raises-rs-272-cr-led-by-ipv-8496935'}",2024-12-19,MBG Card,670b2efb487d83e19bc48195c0941f5b
Retail Intelligence Platform,12.0,Bengaluru,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/pavestone-leads-12-mn-series-b-round-in-bizom-8449556'}",2024-12-18,Bizom,670b2efb487d83e19bc48195c0941f5b
SaaS ,5.0,Gurugram,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/accounting-startup-hostbooks-bags-5-mn-to-expand-its-ai-product-suite/'}",2024-12-16,HostBooks,670b2efb487d83e19bc48195c0941f5b
Climate Tech,1.0,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/climate-tech-startup-fitsol-raises-1-mn-in-seed-round-8504199'}",2024-12-19,Fitsol,670b2efb487d83e19bc48195c0941f5b
Computer Hardware,2.0,Bengaluru,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/pi-ventures-leads-2-mn-seed-round-in-quanfluence-8449685'}",2024-12-18,Quanfluence,670b2efb487d83e19bc48195c0941f5b
Healthcare,,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/mars-veterinary-health-invests-in-crown-vet-8446837'}",2024-12-17,Crown Vet,670b2efb487d83e19bc48195c0941f5b
Healthcare,0.742,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/healthtech-startup-fibroheal-woundcare-raises-rs-63-cr-in-pre-series-a-8443450'}",2024-12-16,Fibroheal Woundcare,670b2efb487d83e19bc48195c0941f5b
Fintech,1.2,Bengaluru,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/fintech-startup-curie-money-raises-12-mn-in-seed-round-8495734'}",2024-12-19,Curie Money,670b2efb487d83e19bc48195c0941f5b
Educational OTT,8.0,Bengaluru,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/seekho-app-raises-8-mn-in-series-a-led-by-lightspeed-8448531'}",2024-12-17,Seekho,670b2efb487d83e19bc48195c0941f5b
Climate Tech,1.0,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/climate-tech-startup-resilience-ai-bags-1-mn-in-seed-round-8447216'}",2024-12-18,Resilience AI,670b2efb487d83e19bc48195c0941f5b
Fintech,4.5,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/fintech-startup-quid-cash-raises-45-mn-in-pre-series-a-round-8496056'}",2024-12-19,QuiD Cash,670b2efb487d83e19bc48195c0941f5b
Solar Energy,2.35,Gurugram,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/zunroof-bags-inr-20-cr-to-offer-rooftop-solar-solutions/'}",2024-12-19,Zunroof,670b2efb487d83e19bc48195c0941f5b
Intercity bus service,9.0,Gurugram,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://yourstory.com/2024/12/bp-ventures-invests-9m-intercity-ev-electric-bus-startup-zingbus'}",2024-12-17,Zingbus,670b2efb487d83e19bc48195c0941f5b
EV,,Ahmedabad,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/naxatra-labs-bags-seed-funding-to-build-ev-motors/'}",2024-12-24,Naxatra Labs,ad2b2efb487d828084e581535cb298c2
Fintech,10.0,Gurugram,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/retail-advisory-platform-univest-raises-10-mn-in-series-a-8550272'}",2024-12-23,Univest,ad2b2efb487d828084e581535cb298c2
Used bike marketplace,11.5,Bengaluru,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/tvs-motor-raises-stake-in-narain-karthikeyans-drivex-mobility/'}",2024-12-24,DriveX Mobility,ad2b2efb487d828084e581535cb298c2
Manufacturing,1.0,Bengaluru,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/leanworx-raises-seed-round-led-by-yournest-venture-8567649'}",2024-12-26,Leanworx,ad2b2efb487d828084e581535cb298c2
Logistics,63.0,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/exclusive/exclusive-logistics-firm-leap-india-to-raise-63-mn-led-by-kkr-8557873'}",2024-12-24,LEAP India,ad2b2efb487d828084e581535cb298c2
Fintech,1.7,Gurugram,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/sustvest-raises-17-mn-in-pre-series-a-8549550'}",2024-12-23,SustVest,ad2b2efb487d828084e581535cb298c2
IoT,3.0,Gurugram,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/ajinkya-rahane-invests-in-proxgys-series-a-round-8562749'}",2024-12-25,Proxgy,ad2b2efb487d828084e581535cb298c2
B2B Seafood ,12.0,Bengaluru,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/exclusive/exclusive-motilal-oswal-invests-rs-100-cr-in-captain-fresh-8567709'}",2024-12-26,Captain Fresh,ad2b2efb487d828084e581535cb298c2
Semiconductor,8.0,Chennai,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/mindgrove-raises-8-mn-in-series-a-funding-round-8549547'}",2024-12-23,Mindgrove Technologies,ad2b2efb487d828084e581535cb298c2
Guest Management,0.5,Pune,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/guestara-raises-500k-in-pre-seed-funding-round-8580010'}",2024-12-31,Guestara,8b8b2efb487d8311b4c9012094b685b2
Hospitality,65.0,Gurugram,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/oyo-raises-65-mn-from-ritesh-agarwals-redsprig-innovation-8591029'}",2025-01-04,Oyo,8b8b2efb487d8311b4c9012094b685b2
Edtech,0.3498,Kochi,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/numberone-academy-raises-pre-seed-funding-round-8577382'}",2024-12-30,NumberOne Academy,8b8b2efb487d8311b4c9012094b685b2
Edtech,,Mumbai,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/exclusive-suniel-shetty-backed-klassroom-edutech-raises-funding-to-expand-its-ai-play/'}",2025-01-02,Klassroom,8b8b2efb487d8311b4c9012094b685b2
B2B Logistics,0.787,Pune,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/cargofl-raises-seed-funding-round-8584928'}",2025-01-02,CargoFL,8b8b2efb487d8311b4c9012094b685b2
AI,0.635,Bengaluru,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/agentic-ai-startup-quash-raises-pre-seed-round-led-by-arali-ventures-8608038'}",2025-01-10,Quash,30eb2efb487d83c4a8830104aee0073b
Fintech,8.269,Mumbai,Secondary,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/paypal-ventures-backed-mintoak-secures-rs-71-cr-in-secondary-funding-8603722'}",2025-01-09,Mintoak,30eb2efb487d83c4a8830104aee0073b
GenAI,0.582,Noida,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/genai-startup-consintai-raises-rs-5-cr-in-seed-round-8594981'}",2025-01-06,Consint.AI,30eb2efb487d83c4a8830104aee0073b
Security and Surveillance,9.0,Noida,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/vehant-technologies-raises-9-mn-from-true-north-8601401'}",2025-01-08,Vehant Technologies,30eb2efb487d83c4a8830104aee0073b
Skincare,5.0,Mumbai,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/ras-luxury-skincare-raises-5-mn-led-by-unilever-ventures-8600516'}",2025-01-08,RAS Luxury Skincare,30eb2efb487d83c4a8830104aee0073b
Energy,6.2,Bengaluru,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/emo-energy-raises-62-mn-in-series-a-round-8598190'}",2025-01-07,EMO Energy,30eb2efb487d83c4a8830104aee0073b
EV - Tractor,2.2,Bengaluru,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/electric-tractor-startup-moonrider-raises-22-mn-in-seed-round-8597800'}",2025-01-07,Moonrider,30eb2efb487d83c4a8830104aee0073b
D2C Snacks - Banana Chips,8.3,Alappuzha,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/beyond-snack-raises-83-mn-in-series-a-round-8604226'}",2025-01-09,Beyond Snack,30eb2efb487d83c4a8830104aee0073b
Deeptech,5.0,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/neuroscience-startup-brainsight-ai-raises-5-mn-8602138'}",2025-01-08,BrainSight AI,30eb2efb487d83c4a8830104aee0073b
Fintech - NBFC,35.0,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/infinity-fincorp-solutions-closes-35-mn-round-8603735'}",2025-01-09,Infinity Fincorp Solutions,30eb2efb487d83c4a8830104aee0073b
Dinnerware,,Mumbai,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/d2c-dinnerware-startup-blackcarrot-bags-funding-led-by-we-founder-circle/'}",2025-01-06,BlackCarrot,30eb2efb487d83c4a8830104aee0073b
Fintech,9.3,Mumbai,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/grayquest-raises-93-mn-from-iifl-fintech-fund-claypond-and-pravega-8605812'}",2025-01-09,GrayQuest,30eb2efb487d83c4a8830104aee0073b
Sports,0.1,Bengaluru,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/kibi-sports-raises-100k-in-pre-seed-funding-8598246'}",2025-01-07,KIBI Sports,30eb2efb487d83c4a8830104aee0073b
Real Estate - Proptech,4.659,Mumbai,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/proptech-startup-hbits-raises-rs-40-cr-in-series-a-8601862'}",2025-01-08,hBits,30eb2efb487d83c4a8830104aee0073b
EV,6.0,Bengaluru,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/oben-electric-raises-6-mn-in-series-a-8598547'}",2025-01-07,Oben Electric,30eb2efb487d83c4a8830104aee0073b
Healthtech,3.4,Gurugram,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/blume-ventures-leads-34-mn-round-in-zoplar-8598758'}",2025-01-07,Zoplar,30eb2efb487d83c4a8830104aee0073b
Aerospace - Flying Taxi,10.0,Bengaluru,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/aerospace-startup-sarla-aviation-raises-10-mn-led-by-accel-8622762'}",2025-01-15,Sarla Aviation,ed3b2efb487d839285bb01e20012f86d
D2C Clothing Brand,0.4619,Delhi,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/house-of-chikankari-bags-rs-4-cr-in-seed-round-8625846'}",2025-01-16,House of Chikankari,ed3b2efb487d839285bb01e20012f86d
SaaS - Fashion,1.2,Bengaluru,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/greenstitch-bags-12-mn-in-seed-round-8623238'}",2025-01-15,GreenStitch,ed3b2efb487d839285bb01e20012f86d
Climate-focused deeptech,23.0,Pune,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/climate-tech-startup-ecozen-raises-23-mn-in-debt-8623678'}",2025-01-15,Ecozen,ed3b2efb487d839285bb01e20012f86d
Biotech,2.3,Pune,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/biotech-startup-zerocircle-raises-rs-20-cr-led-by-rainmatter-8626169'}",2025-01-16,Zerocircle,ed3b2efb487d839285bb01e20012f86d
Logistics,6.0,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/exclusive/exclusive-emiza-supply-chain-kicks-off-new-funding-round-8625857'}",2025-01-16,Emiza Supply Chain Services,ed3b2efb487d839285bb01e20012f86d
Supply Chain Solution,1.0,Bengaluru,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/reputai-closes-1-mn-in-pre-seed-round-led-by-growthcap-ventures-8619352'}",2025-01-13,Reput.ai,ed3b2efb487d839285bb01e20012f86d
Coworking,57.9,Bengaluru,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/wework-india-raises-rs-500-cr-via-rights-issue-8614271'}",2025-01-13,WeWork India,ed3b2efb487d839285bb01e20012f86d
Healthtech,1.85,Nagpur,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/erlysign-bags-inr-16-cr-to-develop-cancer-diagnostic-solutions/'}",2025-01-15,ErlySign,ed3b2efb487d839285bb01e20012f86d
EV,20.0,Delhi,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/euler-motors-raises-20-mn-in-debt-from-responsability-investments/'}",2025-01-15,Euler Motors,ed3b2efb487d839285bb01e20012f86d
Autotech,,Bhubaneshwar,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/autotech-startup-motorfloor-raises-pre-seed-round-8626200'}",2025-01-16,MotorFloor,ed3b2efb487d839285bb01e20012f86d
Agetech,0.43,Bengaluru,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/agetech-startup-sukoon-unlimited-raises-pre-seed-round-8622991'}",2025-01-15,Sukoon Unlimited,ed3b2efb487d839285bb01e20012f86d
Pre-Owned Tractor Marketplace,0.5,Jabalpur,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/tractor-factory-raises-500k-in-pre-seed-round-led-by-all-in-capital-8619966'}",2025-01-14,Tractor Factory,ed3b2efb487d839285bb01e20012f86d
D2C Skincare,30.0,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/d2c-skincare-brand-foxtale-raises-30-mn-8623443'}",2025-01-15,Foxtale,ed3b2efb487d839285bb01e20012f86d
Astrology,6.0,Chennai,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/astrosureai-raises-6-mn-in-seed-round-8626771'}",2025-01-16,AstroSure.ai,ed3b2efb487d839285bb01e20012f86d
Waste Management,4.2,Jaipur,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/wevois-raises-rs-36-cr-in-series-a-round-from-negen-capital-8626156'}",2025-01-16,WeVOIS,ed3b2efb487d839285bb01e20012f86d
D2C Food Brand,2.0,Gurugram,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/kisaansay-raises-2-mn-in-pre-seed-round-led-by-jungle-ventures-8625838'}",2025-01-16,KisaanSay,ed3b2efb487d839285bb01e20012f86d
EV,6.5,Gurugram,Series C,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/exclusive/exclusive-zypp-electric-raises-65-mn-in-ongoing-series-c-8622270'}",2025-01-15,Zypp Electric,ed3b2efb487d839285bb01e20012f86d
Fintech,17.3,Gurugram,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/bharatpe-raises-inr-150-cr-debt-eyes-ebitda-profitability-in-fy25/'}",2025-01-14,BharatPe,ed3b2efb487d839285bb01e20012f86d
EV,18.6,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/ev-two-wheeler-manufacturer-bgauss-raises-rs-161-cr-8620040'}",2025-01-14,BGauss,ed3b2efb487d839285bb01e20012f86d
Aerospace,3.0,Hyderabad,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/pravega-ventures-leads-3-mn-pre-series-a-round-in-constelli-8629310'}",2025-01-17,Constelli,ed3b2efb487d839285bb01e20012f86d
Foodtech,2.5,Noida,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/foodtech-startup-fambo-raises-rs-21-cr-in-pre-series-a-funding-8626412'}",2025-01-16,Fambo,ed3b2efb487d839285bb01e20012f86d
Spacetech,1.5,Bengaluru,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/spacetech-startup-orbitaid-raises-15-mn-led-by-unicorn-india-ventures-8622828'}",2025-01-15,OrbitAID Aerospace,ed3b2efb487d839285bb01e20012f86d
B2B Tyre Marketplace,2.31,Delhi,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/tyreplex-pockets-inr-20-cr-to-digitise-indias-tyre-space/'}",2025-01-15,TyrePlex,ed3b2efb487d839285bb01e20012f86d
Parking Management,1.2,Noida,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/cactus-partners-leads-12-mn-round-in-parkmate-8623699'}",2025-01-15,ParkMate,ed3b2efb487d839285bb01e20012f86d
QSR,3.47,Bengaluru,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/bubble-tea-brand-boba-bhai-raises-rs-30-cr-in-series-a-round-8614194'}",2025-01-13,Bobba Bhai,ed3b2efb487d839285bb01e20012f86d
Deeptech,6.94,Bengaluru,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/vunet-systems-raises-rs-60-cr-in-series-b-round-8646289'}",2025-01-23,VuNet Systems,0f6b2efb487d82879e300165e5bedd40
Beer Brand,6.46,Delhi,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/medusa-beverages-raises-rs-56-cr-in-series-a-funding-8649454'}",2025-01-24,Medusa Beverages,0f6b2efb487d82879e300165e5bedd40
Coffee Brand,1.0,Noida,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/chelvies-coffee-raises-1-mn-in-pre-series-a-round-8640133'}",2025-01-21,Chelvies Coffee,0f6b2efb487d82879e300165e5bedd40
Industrial Robotics,20.0,Bengaluru,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/industrial-robotics-startup-ati-motors-raises-20-mn-in-series-b-round-8646163'}",2025-01-23,Ati Motors,0f6b2efb487d82879e300165e5bedd40
D2C Skincare Brand,7.52,Bengaluru,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/deconstruct-raises-rs-65-cr-from-lor%C3%A9als-vc-fund-bold-and-others-8643091'}",2025-01-22,Deconstruct,0f6b2efb487d82879e300165e5bedd40
B2B E-commerce for construction materials,125.0,Thane,Series F,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/inframarket-raises-125-mn-led-by-tiger-global-8647119'}",2025-01-23,Infra.Market,0f6b2efb487d82879e300165e5bedd40
On demand home services,5.5,Mumbai,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/quick-service-app-snabbit-raises-55-mn-led-by-elevation-and-nexus-8639619'}",2025-01-21,Snabbit,0f6b2efb487d82879e300165e5bedd40
D2C - Groceries,4.5,Ahmednagar,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/mistry-ventures-leads-45-mn-round-in-kisankonnect-8637095'}",2025-01-20,KisanKonnect,0f6b2efb487d82879e300165e5bedd40
Advanced nanocarbon materials for energy storage,1.2,Jaipur,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/cancrie-raises-12-mn-in-seed-funding-round-8644225'}",2025-01-22,Cancrie,0f6b2efb487d82879e300165e5bedd40
Coworking,1.5,Indore,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/office-space-management-company-workie-raises-13-cr-8644098'}",2025-01-22,Workie,0f6b2efb487d82879e300165e5bedd40
D2C Lingerie Brand,0.7,Noida,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/krvvy-raises-rs-61-cr-from-titan-capital-and-all-in-capital-8636581'}",2025-01-20,Krvvy,0f6b2efb487d82879e300165e5bedd40
Fintech - NBFC,38.0,Jaipur,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/namdev-finvest-bags-38-mn-debt-funding-to-diversify-operations/'}",2025-01-22,Namdev Finvest,0f6b2efb487d82879e300165e5bedd40
Cloud-based post-production software,1.0,Mumbai,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/postudio-raises-1-mn-in-pre-seed-funding-8639868'}",2025-01-21,Postudio,0f6b2efb487d82879e300165e5bedd40
Aerospace and Defense,0.347,Chennai,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/dream-aerospace-raises-rs-3-cr-in-pre-seed-round-8646648'}",2025-01-23,Dream Aerospace,0f6b2efb487d82879e300165e5bedd40
D2C Mouth Freshener,0.648,Ahmedabad,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/joyspoon-raises-more-money-in-seed-round-8639852'}",2025-01-21,JoySpoon,0f6b2efb487d82879e300165e5bedd40
B2B - Raw Materials Procurement,1.72,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/procureyard-raises-172-mn-in-seed-round-8636600'}",2025-01-20,ProcureYard,0f6b2efb487d82879e300165e5bedd40
Healthtech,1.0,Bengaluru,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/healthcare-platform-raaz-app-raises-1-mn-led-by-fireside-ventures-8643414'}",2025-01-22,Raaz App,0f6b2efb487d82879e300165e5bedd40
Healthtech,0.578,Bhubaneshwar,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/prantae-solutions-saises-seed-round-from-ian-group-8637291'}",2025-01-20,Prantae Solutions,0f6b2efb487d82879e300165e5bedd40
Biotech,0.347,Bhubaneshwar,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/biotech-startup-exsure-raises-seed-round-led-by-unicorn-india-ventures-8643695'}",2025-01-22,Exsure,0f6b2efb487d82879e300165e5bedd40
Medtech,0.231,Delhi,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/ian-group-leads-seed-round-in-medtech-startup-svastek-8647043'}",2025-01-23,SVASTEK,0f6b2efb487d82879e300165e5bedd40
Proptech,5.0,Hyderabad,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/y-combinator-backed-landeed-raises-5-mn-8645853'}",2025-01-23,Landeed,0f6b2efb487d82879e300165e5bedd40
Healthcare,2.4,Delhi,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/otp-ventures-leads-24-mn-round-in-zeelab-pharmacy-8643423'}",2025-01-22,Zeelab Pharmacy,0f6b2efb487d82879e300165e5bedd40
Fashion search engine,1.0,Gurugram,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/infoedge-ventures-leads-1-mn-round-in-shoppin-8669237'}",2025-01-29,Shoppin,858b2efb487d83a69d00013be5ef0ec6
Co-Working,13.0,Delhi,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/oyo-owned-innov8-raises-rs-110-cr-at-rs-1000-cr-valuation-8660332'}",2025-01-28,Innov8,858b2efb487d83a69d00013be5ef0ec6
Supply Chain and Warehousing,12.0,Mumbai,Series C,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/emiza-raises-rs-100-cr-in-series-c-round-8657375'}",2025-01-27,Emiza,858b2efb487d83a69d00013be5ef0ec6
Deeptech,10.0,Bengaluru,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/astrome-technologies-raises-10-mn-led-by-appollo-fund-8658316'}",2025-01-27,Astrome Technologies,858b2efb487d83a69d00013be5ef0ec6
Seafood supply chain,30.0,Bengaluru,Pre-IPO,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/news/captain-fresh-raises-rs-250-cr-in-ongoing-pre-ipo-round-8678115'}",2025-01-31,Captain Fresh,858b2efb487d83a69d00013be5ef0ec6
Teen Self Care,1.2,Mumbai,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/teen-self-care-brand-sammmm-raises-rs-10-cr-in-seed-funding-8674589'}",2025-01-30,Sammmm,858b2efb487d83a69d00013be5ef0ec6
Deeptech,0.8,Chennai,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/thinkmetal-raises-800k-in-pre-series-a-round-8661333'}",2025-01-28,ThinkMetal,858b2efb487d83a69d00013be5ef0ec6
Cloud Kitchen,3.46,Gurugram,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://economictimes.indiatimes.com/tech/funding/salad-days-raises-rs-30-crore-in-round-led-by-v3-ventures-caaf/articleshow/117697394.cms'}",2025-01-30,Salad Days,858b2efb487d83a69d00013be5ef0ec6
Gaming,1.269,Bengaluru,Seed + Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/snippets/saucevc-leads-11-cr-round-in-gaming-startup-metashot-8660717'}",2025-01-28,MetaShot,858b2efb487d83a69d00013be5ef0ec6
